Name,ISIN,issue date,maturity date,coupon,16,17,18,19,20,23,24,25,26,27
CAN 1.00 Jun 1,CA135087E679,8/3/2016,6/1/2027,1.00%,94.84,94.94,95.27,95.34,95.02,94.95,94.96,95.1,95.09,94.8
CAN 2.00 Jun 1,CA135087H235,8/1/2017,6/1/2028,2.00%,95.91,96.02,96.61,96.59,96.04,95.94,95.95,96.12,96.04,95.62
CAN 2.25 Jun 1,CA135087J397,7/27/2018,6/1/2029,2.25%,96.81,96.9,97.59,97.57,96.89,96.8,96.82,97.04,96.92,96.39
CAN 1.00 Sep 1,CA135087L930,4/16/2021,9/1/2026,1.00%,92.72,92.84,93.24,93.29,92.95,92.9,92.91,93.05,93.04,92.77
CAN 1.50 Jun 1,CA135087M276,4/26/2021,6/1/2031,1.50%,89.89,90.06,90.85,90.86,90.08,90,90.14,90.35,90.23,89.79
CAN 1.25 Mar 1,CA135087M847,10/15/2021,3/1/2027,1.25%,93.14,93.25,93.73,93.78,93.39,93.33,93.35,93.5,93.46,93.14
CAN 1.50 Dec 1,CA135087N266,10/25/2021,12/1/2031,1.50%,89.37,89.52,90.32,90.32,89.51,89.42,89.55,89.78,89.65,89.2
CAN 2.00 Jun 1,CA135087N597,3/16/2022,6/1/2032,2.00%,92.93,93.08,93.84,93.91,93.07,92.96,93.08,93.3,93.16,92.68
CAN 2.75 Sep 1,CA135087N837,5/13/2022,9/1/2027,2.75%,99.1,99.22,99.71,99.71,99.24,99.14,99.15,99.29,99.24,98.86
CAN 3.50 Mar 1,CA135087P576,10/21/2022,3/1/2028,3.50%,102.73,102.84,103.4,103.38,102.83,102.73,102.77,102.92,102.82,102.4
